"SERIES_ID","season","TEAM_A","TEAM_B","WINNER","TEAM_ID_A","TEAM_ID_B","WIN_PCT_DIFF","NET_RATING_DIFF","TS_DIFF","THREE_PT_DIFF","OFF_RATING_DIFF","DEF_RATING_DIFF","EFG_DIFF","OREB_DIFF","TOV_DIFF","PLUS_MINUS_DIFF","SOS_DIFF","SRS_DIFF","H2H_WIN_PCT_DIFF","H2H_TS_PCT_DIFF","H2H_EFG_PCT_DIFF","H2H_POINT_DIFF_DIFF"
"Boston Celtics vs Washington Wizards","2016-17","Boston Celtics","Washington Wizards",1,1610612738,1610612764,0.048,0.9,0.003,0.108429026464163,0.199999999999989,-0.799999999999997,-0.003,-0.027,-0.00699999999999998,0.99999999999998,-0.00070731707317101,0.99929268292681,0,-0.00557931399909073,-0.00919931131056084,-11.5
"Cleveland Cavaliers vs Golden State Warriors","2016-17","Cleveland Cavaliers","Golden State Warriors",0,1610612739,1610612744,-0.195,-8.3,-0.017,0.040286049792601,-2,6.3,-0.0159999999999999,-0.00800000000000001,-0.00599999999999998,-8.30000000000001,0.005768292682927,-8.29423170731712,0,-0.133373643610332,-0.135416228508334,-34
"Cleveland Cavaliers vs Indiana Pacers","2016-17","Cleveland Cavaliers","Indiana Pacers",1,1610612739,1610612754,0.11,3.3,0.0219999999999999,0.127143052007713,4.89999999999999,1.60000000000001,0.031,0.00900000000000001,-0.000999999999999973,3.29999999999998,0.00384146341463404,3.30384146341461,0.5,0.0238070112596758,0.0207505078635329,9.5
"Cleveland Cavaliers vs Toronto Raptors","2016-17","Cleveland Cavaliers","Toronto Raptors",1,1610612739,1610612761,0,-1.2,0.0189999999999999,0.110586884784013,1.39999999999999,2.60000000000001,0.03,-0.027,0.00800000000000001,-1.20000000000002,0.007280487804878,-1.19271951219514,0.5,0.0335331564269995,0.0301357801464085,-2
"Golden State Warriors vs Portland Trail Blazers","2016-17","Golden State Warriors","Portland Trail Blazers",1,1610612744,1610612757,0.317,12,0.0379999999999999,0.036964909210603,5.39999999999999,-6.59999999999999,0.0429999999999999,0.003,0.00699999999999998,12,-0.016060975609756,11.9839390243903,1,0.0944090487879149,0.0881759193360152,39
"Golden State Warriors vs San Antonio Spurs","2016-17","Golden State Warriors","San Antonio Spurs",1,1610612744,1610612759,0.073,4,0.033,0.078083436171672,4.5,0.5,0.0389999999999999,-0.00999999999999995,0.005,4.00000000000001,-0.00459756097560998,3.99540243902444,-0.333333333333333,-0.0572476302902223,-0.0406957111145806,-26
"Golden State Warriors vs Utah Jazz","2016-17","Golden State Warriors","Utah Jazz",1,1610612744,1610612762,0.195,7.1,0.034,0.032192677531489,5.8,-1.3,0.0369999999999999,0.002,-0.002,7.1,-0.010243902439025,7.08975609756101,0.333333333333333,0.0715826447211689,0.0660021000160935,20.6666666666667
"Houston Rockets vs Oklahoma City Thunder","2016-17","Houston Rockets","Oklahoma City Thunder",1,1610612745,1610612760,0.0980000000000001,4.9,0.0429999999999999,0.167088606706167,6.19999999999999,1.30000000000001,0.045,-0.042,-0.002,4.89999999999998,-0.00731707317073194,4.89268292682924,0.5,0.0308875221167645,0.049956878908475,7.5
"Houston Rockets vs San Antonio Spurs","2016-17","Houston Rockets","San Antonio Spurs",0,1610612745,1610612759,-0.073,-1.7,0.019,0.181508228907558,3.8,5.5,0.021,-0.000999999999999945,0.00900000000000001,-1.7,0.00490243902439003,-1.69509756097561,-0.5,-0.0323873321697562,-0.0265351333920067,-4
"LA Clippers vs Utah Jazz","2016-17","LA Clippers","Utah Jazz",0,1610612746,1610612762,0,0.100000000000001,0.011,0.002548033750223,2.8,2.8,0.011,-0.014,-0.015,0,0.00282926829268293,0.00282926829268071,0.5,0.0384592044193309,0.0336479903526845,18
"Memphis Grizzlies vs San Antonio Spurs","2016-17","Memphis Grizzlies","San Antonio Spurs",0,1610612763,1610612759,-0.22,-6.9,-0.0289999999999999,0.035717449800467,-3.3,3.59999999999999,-0.033,0.013,-0.00399999999999998,-6.89999999999999,0.017719512195122,-6.88228048780486,0,-0.00510843340707912,-0.0161067884818428,5
"Milwaukee Bucks vs Toronto Raptors","2016-17","Milwaukee Bucks","Toronto Raptors",0,1610612749,1610612761,-0.11,-4.5,0.00399999999999989,0.00127626313735402,-2.90000000000001,1.60000000000001,0.01,-0.031,0.014,-4.50000000000001,0.00923170731707296,-4.49076829268294,-0.5,-0.059256515099949,-0.0469693053606223,-18.5
"Boston Celtics vs Cleveland Cavaliers","2017-18","Boston Celtics","Cleveland Cavaliers",0,1610612738,1610612739,0.0610000000000001,2.6,-0.0319999999999999,-0.022004589876486,-5.2,-7.89999999999999,-0.029,0.02,0.00499999999999998,2.69999999999998,0.000743902439025002,2.70074390243901,-0.333333333333333,-0.0400707422485931,-0.0286911460271241,-7.33333333333333
"Boston Celtics vs Milwaukee Bucks","2017-18","Boston Celtics","Milwaukee Bucks",1,1610612738,1610612749,0.134,3.8,-0.0189999999999999,0.059935013134802,-2.2,-5.89999999999999,-0.013,0.019,0.002,3.69999999999998,-0.00862195121951198,3.69137804878048,0,-0.0149498126734164,-0.0110138135135359,3
"Boston Celtics vs Philadelphia 76ers","2017-18","Boston Celtics","Philadelphia 76ers",1,1610612738,1610612755,0.037,-1,-0.0159999999999999,0.012812756584468,-1.7,-0.700000000000003,-0.017,-0.023,-0.019,-1,-0.00851219512195101,-1.00851219512195,0.5,0.0234091651399387,0.020831736159945,11.5
"Cleveland Cavaliers vs Golden State Warriors","2017-18","Cleveland Cavaliers","Golden State Warriors",0,1610612739,1610612744,-0.097,-4.9,-0.019,0.039833663374501,-0.799999999999997,4.3,-0.0219999999999999,0,-0.014,-5.09999999999999,-0.00398780487804901,-5.10398780487804,-1,-0.0842655554711327,-0.0896207392000533,-17
"Cleveland Cavaliers vs Indiana Pacers","2017-18","Cleveland Cavaliers","Indiana Pacers",1,1610612739,1610612754,0.025,-0.3,0.0269999999999999,0.095502515395561,3.5,3.8,0.022,-0.028,0.003,-0.299999999999994,-0.00792682926829297,-0.30792682926829,-0.5,-0.00749504483512853,-0.0166485096154609,-8
"Cleveland Cavaliers vs Toronto Raptors","2017-18","Cleveland Cavaliers","Toronto Raptors",1,1610612739,1610612761,-0.11,-6.7,0.00900000000000001,0.00196156312500501,-1,5.8,0.00800000000000001,-0.031,0.004,-6.79999999999999,0.000756097560975,-6.79924390243902,0.333333333333333,0.0221758160280721,-0.00572420913767735,-16.6666666666667
"Golden State Warriors vs Houston Rockets","2017-18","Golden State Warriors","Houston Rockets",1,1610612744,1610612745,-0.0860000000000001,-2.5,0.013,-0.163014715405162,-1.3,1.09999999999999,0.0179999999999999,-0.011,0.012,-2.39999999999999,0.00358536585365904,-2.39641463414633,-0.333333333333333,0.0655407352533202,0.0581348859573786,0.666666666666667
"Golden State Warriors vs New Orleans Pelicans","2017-18","Golden State Warriors","New Orleans Pelicans",1,1610612744,1610612740,0.122,4.8,0.03,0.020153996821882,4.3,-0.600000000000009,0.0279999999999999,0.003,0.00800000000000001,4.90000000000001,-0.0108658536585369,4.88913414634147,0.5,0.030701818064968,0.0251335290121842,13.5
