TEAM_NAME,REG_TS_PCT,REG_EFG_PCT,SEASON,PLAYOFF_GAMES,PLAYOFF_WINS,PLAYOFF_WIN_PCT
Boston Celtics,0.609,0.578,2023-24,19,16,0.8421052631578947
Cleveland Cavaliers,0.586,0.557,2023-24,12,5,0.4166666666666667
Dallas Mavericks,0.592,0.562,2023-24,22,13,0.5909090909090909
Denver Nuggets,0.589,0.562,2023-24,12,7,0.5833333333333334
Indiana Pacers,0.606,0.578,2023-24,17,8,0.47058823529411764
LA Clippers,0.599,0.561,2023-24,6,2,0.3333333333333333
Los Angeles Lakers,0.601,0.566,2023-24,5,1,0.2
Miami Heat,0.578,0.538,2023-24,5,1,0.2
Milwaukee Bucks,0.601,0.568,2023-24,6,2,0.3333333333333333
Minnesota Timberwolves,0.594,0.559,2023-24,16,9,0.5625
New Orleans Pelicans,0.591,0.558,2023-24,4,0,0.0
New York Knicks,0.574,0.54,2023-24,13,7,0.5384615384615384
Oklahoma City Thunder,0.608,0.573,2023-24,10,6,0.6
Orlando Magic,0.577,0.541,2023-24,7,3,0.42857142857142855
Philadelphia 76ers,0.574,0.532,2023-24,6,2,0.3333333333333333
Phoenix Suns,0.603,0.565,2023-24,4,0,0.0
